"English","Chinese (ZH)","Malay (MS)","Japanese (JA)","ID","Page","Section","Never Translate","Review Flag","Notes"
"Terms of use and marketing disclaimers for hibiscus2.com, covering Lexis Hibiscus 2, Port Dickson.","hibiscus2.com 的使用条款及营销免责声明，内容涵盖 Lexis Hibiscus 2（Port Dickson）。","","","disclaimer.meta.description","/disclaimer/","Meta description","","",""
"Disclaimer — Lexis Hibiscus 2","免责声明 — Lexis Hibiscus 2","","","disclaimer.og.title","/disclaimer/","og:title","","",""
"Terms of use and marketing disclaimers for hibiscus2.com.","hibiscus2.com 的使用条款及营销免责声明。","","","disclaimer.og.description","/disclaimer/","og:description","","",""
"Legal","法律信息","","","disclaimer.eyebrow","/disclaimer/","Eyebrow label","","","Same string as privacy.eyebrow"
"Disclaimer","免责声明","","","disclaimer.h1","/disclaimer/","H1","","",""
"Last updated: 10 July 2026","最后更新日期：2026年7月10日","","","disclaimer.last_updated","/disclaimer/","Publication date line","Partial","","Keep the same date across all languages"
"1. Marketing Material Only","1. 仅供营销参考","","","disclaimer.s1.heading","/disclaimer/","Section 1 heading","","",""
"hibiscus2.com is marketing material produced by an authorised real estate negotiator (""we"", ""us"") for Lexis Hibiscus 2, Port Dickson. This is not the developer's official website. Nothing on this site constitutes an offer, contract, or part of a contract of sale.","hibiscus2.com 是由授权房地产经纪人（""我们""）为 Lexis Hibiscus 2（Port Dickson）制作的营销资料，并非发展商官方网站。本网站所载内容概不构成要约、合约，或买卖合约的一部分。","","","disclaimer.s1.body","/disclaimer/","Section 1 body","","Y",""
"2. Renders & Imagery","2. 效果图与影像","","","disclaimer.s2.heading","/disclaimer/","Section 2 heading","","",""
"All renders on this website are artist impressions. The final development, landscaping, facilities, finishes and views may vary from what is depicted. Where actual show unit photography is used, it reflects the specific unit photographed and may not represent every villa type.","本网站所有效果图均为艺术构想图。最终发展项目、景观设计、设施、装修及景观可能与图示有所不同。如使用实际样板房照片，该照片仅反映所拍摄的特定单位，未必代表所有别墅户型。","","","disclaimer.s2.body","/disclaimer/","Section 2 body","","",""
"3. Pricing, Availability & Specifications","3. 价格、供应情况与规格","","","disclaimer.s3.heading","/disclaimer/","Section 3 heading","","",""
"Prices, unit availability, sizes and specifications shown are indicative and subject to change without notice. Official, current figures are confirmed only in the sale and purchase agreement and related official documentation issued by the developer.","网站所示价格、单位供应情况、面积及规格仅供参考，如有更改，恕不另行通知。官方及最新数据仅以发展商所发出的买卖合约及相关正式文件为准。","","","disclaimer.s3.body","/disclaimer/","Section 3 body","","",""
"4. Rental Programme","4. 租赁计划","","","disclaimer.s4.heading","/disclaimer/","Section 4 heading","","",""
"Any description of the rental programme on this website is a summary only. Programme details are subject to the official sale and tenancy/leaseback agreements. Rental programme terms, availability and conditions may change according to official agreements and project requirements. Interested buyers should review the complete terms with the authorised sales representative before making any decision.","本网站有关租赁计划的描述仅为概要说明。计划详情以正式的买卖及租赁／回租协议为准。租赁计划条款、供应情况及条件可能根据正式协议及项目要求而有所变动。有意买家在作出任何决定前，应与授权销售代表一同审阅完整条款。","","","disclaimer.s4.body","/disclaimer/","Section 4 body","","Y",""
"5. Not Financial Advice","5. 非财务建议","","","disclaimer.s5.heading","/disclaimer/","Section 5 heading","","Y",""
"This website is marketing material and does not constitute financial, investment, legal or tax advice. Prospective buyers should seek independent legal and financial counsel before entering into any transaction.","本网站为营销资料，不构成财务、法律或税务建议。准买家在进行任何交易前，应寻求独立的法律与财务咨询。","","","disclaimer.s5.body","/disclaimer/","Section 5 body","","Y","FLAGGED: ZH drops ""investment"" from the enumerated advice types (投资 is banned). Apply equivalent substitution for MS (""pelaburan"" banned) and JA (投資 banned) — see TRANSLATION-TASK.md"
"6. Errors & Omissions","6. 错误与遗漏","","","disclaimer.s6.heading","/disclaimer/","Section 6 heading","","",""
"While we take reasonable care to keep information accurate, this website is provided on an ""as is"" basis and information is correct at time of publication only, subject to change (E&OE — errors and omissions excepted).","我们已采取合理措施确保信息准确，惟本网站内容以""现状""提供，所载信息仅在发布当时正确，如有更改，恕不另行通知（E&OE——错漏除外）。","","","disclaimer.s6.body","/disclaimer/","Section 6 body","","",""
"7. Third-Party Links","7. 第三方链接","","","disclaimer.s7.heading","/disclaimer/","Section 7 heading","","",""
"Any third-party links on this website (e.g. WhatsApp) are provided for convenience. We are not responsible for the content or practices of third-party services.","本网站所载任何第三方链接（如 WhatsApp）仅为方便用户而提供。我们概不对第三方服务的内容或做法负责。","","","disclaimer.s7.body","/disclaimer/","Section 7 body","","",""
"Thank You | Lexis Hibiscus 2, Port Dickson","感谢您的咨询｜Lexis Hibiscus 2, Port Dickson","","","thankyou.meta.title","/thank-you/","<title>","","",""
"Thank you for your enquiry about Lexis Hibiscus 2. Our consultant will be in touch on WhatsApp shortly.","感谢您对 Lexis Hibiscus 2 的咨询。我们的顾问将尽快透过 WhatsApp 与您联系。","","","thankyou.meta.description","/thank-you/","Meta description","","",""
"Thank You — Lexis Hibiscus 2","感谢您的咨询 — Lexis Hibiscus 2","","","thankyou.og.title","/thank-you/","og:title","","",""
"Thank you for your enquiry. Our consultant will be in touch shortly.","感谢您的咨询。我们的顾问将尽快与您联系。","","","thankyou.og.description","/thank-you/","og:description","","",""
"Hi, I'd like to book a viewing — following up on my enquiry about Lexis Hibiscus 2.","您好，我想预约参观——跟进我早前有关 Lexis Hibiscus 2 的咨询。","","","thankyou.wa_text","/thank-you/","WhatsApp prefill (data-wa-text)","","",""
"Thank You — Your Enquiry Has Been Received","感谢您——我们已收到您的咨询","","","thankyou.h1","/thank-you/","H1","","",""
"Our consultant will reach out to you on WhatsApp shortly with villa details, pricing and next steps. If it's urgent, message us directly below.","我们的顾问将尽快透过 WhatsApp 与您联系，提供别墅详情、价格及后续步骤。如有急事，欢迎直接透过下方联系我们。","","","thankyou.body","/thank-you/","Body copy","","",""
"Explore the villas","探索别墅","","","thankyou.link1","/thank-you/","Bottom link 1","","",""
"Read about the rental programme","了解租赁计划","","","thankyou.link2","/thank-you/","Bottom link 2","","",""
"Back to home","返回首页","","","thankyou.link3","/thank-you/","Bottom link 3","","",""
"Page Not Found | Lexis Hibiscus 2, Port Dickson","找不到页面｜Lexis Hibiscus 2, Port Dickson","","","404.meta.title","/404.html","<title>","","",""
"This page could not be found. Explore Lexis Hibiscus 2 villas and the rental programme, or WhatsApp us directly.","找不到该页面。欢迎探索 Lexis Hibiscus 2 的别墅与租赁计划，或直接透过 WhatsApp 联系我们。","","","404.meta.description","/404.html","Meta description","","",""
"Hi, I couldn't find what I was looking for on the Lexis Hibiscus 2 website.","您好，我在 Lexis Hibiscus 2 网站上找不到我要找的内容。","","","404.wa_text","/404.html","WhatsApp prefill (data-wa-text)","","",""
"We Couldn't Find That Page","找不到该页面","","","404.h1","/404.html","H1","","",""
"The page you're looking for may have moved. Try one of the links below, or message us directly on WhatsApp.","您要寻找的页面可能已经搬移。请尝试以下链接，或直接透过 WhatsApp 与我们联系。","","","404.body","/404.html","Body copy","","",""
"Back to Home","返回首页","","","404.button1","/404.html","Button","","",""
"View Villas","查看别墅","","","404.button2","/404.html","Button","","",""
